counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2240,115,-895,-10227,-366,-457,-143,-0.000610,-0.000671,-1.370061,-0.055420,-0.097656,-0.040771,-3.328125,3.207031,-0.968750,5250,-20,-91,-137,7839,7787,8164,7949,-8.820267,2.869891,0.016602,-0.001709
2241,1289,-295,-11260,200,-263,235,-0.000427,-0.000671,-1.370049,0.082764,-0.050293,0.051514,-3.328125,3.207031,-0.968750,5250,-103,-117,-147,7839,7777,8181,7946,-8.820399,2.870287,0.016602,-0.001709
2242,1613,-553,-8572,257,717,335,-0.000244,-0.000366,-1.369917,0.096680,0.188965,0.075928,-3.328125,3.207031,-0.968750,5250,-122,-282,-163,7868,7784,8187,7944,-8.820531,2.870683,0.016602,-0.001709
2243,-1751,-485,-6611,322,802,47,0.000061,0.000122,-1.369917,0.112549,0.209717,0.005615,-3.328125,3.207031,-0.968750,5250,-146,-315,-169,7863,7765,8170,7925,-8.820662,2.871079,0.016602,-0.001709
2244,-2863,-280,-6913,577,87,-43,0.000366,0.000183,-1.369930,0.174805,0.035156,-0.016357,-3.328125,3.207031,-0.968750,5250,-198,-214,-171,7852,7777,8161,7951,-8.820794,2.871474,0.016602,-0.001709
2245,-1407,649,-11393,165,-468,85,0.000488,-0.000000,-1.369930,0.074219,-0.100342,0.014893,-3.328125,3.207031,-0.968750,5250,-153,-123,-178,7873,7788,8165,7939,-8.820926,2.871868,0.016602,-0.001709
2246,154,1922,-13607,-677,-274,-37,0.000244,0.000000,-1.369629,-0.131348,-0.052979,-0.014893,-3.328125,3.207031,-0.968750,5250,-33,-1999,-178,7854,7790,8162,7929,0.000000,0.000000,0.000000,-0.383789
2247,464,234,-11475,-852,-377,-233,-0.000122,-0.000366,-1.369930,-0.174072,-0.078125,-0.062744,-3.328125,3.207031,-0.968750,5250,4,-1972,-169,7847,7781,8143,7937,0.000000,0.000000,0.000000,-0.383789
2248,1043,-1119,-9587,-222,-453,-67,-0.000183,-0.000488,-1.370049,-0.020264,-0.096680,-0.022217,-3.328125,3.207031,-0.968750,5250,-72,-1951,-166,7793,7730,8171,7967,0.000000,0.000000,0.000000,-0.383789
2249,2280,-1251,-9899,514,141,111,0.000122,-0.000427,-1.370049,0.159424,0.048340,0.021240,-3.328125,3.207031,-0.968750,5250,-178,-2049,-171,7745,7718,8203,8018,0.000000,0.000000,0.000000,-0.383789
